936EACBE07F201DF,1710
B3998086D056CFFA,61
4E23381A,399
70114E4D,70
4A0BC9CD,38
4E868DEC,1994
4C908B27,7
4CEBD70D,152
24ED6494,244
0F9B6690,687
4E5C0175,151
4E4C147D,2147
4A4AD5CB,22
11F7AB00,24
019C5F95,100
89B873F91884107C,60
1BF62C15,43
50EA76A5,78
4ED0CF50,7
516A7668,32
4EC55518,194
6C4A0515,48
4E3BD045,54
5EE73E8C,19
43C745A6,33
52D3ED06,43
53B4227B,47
306456F4,25
7FD75BF2,38
35921AA5,24
F2B98E6123572C4E,18
4D899231,33
3F2E61F1,42
5167C6D3,21
51402BBB,23
0AE3AC42,23
460B1D87,22
77C9C1C5,14
4DB9859D,9
7A4D1852,24
2B5B9E70,20
59CFCAF7,39
31F331E3,29
4DFF5300,16
4E5B9304,15
37D7381A,25
428859AD,15
429F0028,39
EEF8476D4D869D90,66
60378805,17
50137D63,16
F2F62401EB3370E2,11
551165B7,20
530AACB2,18
4F4C0FAA,18
4B082E6E,25
506951AF,25
4D174797,8
09451073,13
55A37EFE,13
54D4942E,9
717DA437,17
776C7D76,6
04D859F3,28
60501062,13
035B92A2,10
4780E246,8
2932C8D7,16
5158E945,18
1896FE05,13
66B0469F,10
6E0365E1,4051
2C8405F7,73
9889EEE2E24097F8,28
53EDD29C,18
501802AB,7
0C526537,14
50320C05,7
4E2E47F2,7
BA8E60C542CD41E8,16
52A52B6E,12
4FF00B43,11
4F7510C0,6
55F90FC0,44
2C632EF7,11
AB564B63EC842FE7,9
3459D54F,7
457EE329,38
4DF55E4C,20
670459EE,19
4E72E781,12
6786CA56,11
4F54C997,9
71C35077,6
480DF441,11
50BDD675,6
5088939E,17
50081A9C,11
4E25B050,10
4EA528DC,41
4CEE7EDC,8
06E512F2,17
30A0E92B,11
4FEAC533,9
4FBD7B24,14
DC683E8C30DC184B,12
51A49A6F,16
D54A2E6AF4A61095,8
55716945,7
54605D1E,7
4E9FB947,6
0FBCF589,6
4489B545,11
528DDE3A,7
440C8E80,7
B4A6499DF92D64CF,16
4E8F00B1,13
2113915E,12
4F69DEC4,7
4F891256,6
4F8F4434,13
4EDC42DA,13
189C2EA5,7
4FB14F0E,13
4E3153DD,13
79A17C41,7
512E116B,7
4D772586,7
38ECCF9B,35
BFA5A25B50063208,30
4BD8EA0D,21
4E002180,17
55A5E02D,10
91E0F326280D929B,9
52CE582E,9
684F47B9,8
5534C55E,7
4FBE0C6F,11
541183DC,8
5123A62A,7
5032ED34,6
4F5EB076,30
775CA095,6
55B6301B,6
5010A7EC,6
4DB58605,13
22227436,6
14E3675B,8
51046622,7
55BA29F4,6
5354B2A0,6
4D6F8BE8,6
93FEC60408E0F83D,5
1A8B07A8,165
3882A06F,10
BCB90D20A525D82F,7
55C04B37,7
FD729CF6D9E3C64B,10
7A027E6B,7
4FBAB256,6
46C1C6C2,6
1BAFC5EE,21
87C356686C811C62,14
94702564D49BF686,7
518BBDFF,2388
4E239460,221
D3851EF1BDBBD0A0,84
67116EB2,13
7EA4FB92,9
52CF5885,9
4E49EF7F,52
4E148402,48
0B4B168C,32
3FF45CF6,21
4A7D77FB,15
356A6754,12
51997AA6,11
4D70A3BB,11
50C35B1A,10
01A6809F,7
5236BAD8,6
35E5BC5A,6
4FA1A9F1,662
C6B48562688C65FF,69
0A517A64,33
713EF52E,19
6E80253D,11
50F3967A,7
13D34AA2,7
6E65A16B,6
51DCF83B,6
42BD2A4C,6
7C58A190,5
4E3844F8,1093
4F03D114,476
533CED25,370
4D07731B,296
1C246F66,182
4CE3E7ED,173
4F98AEAB,64
5AA22123,32
75417857,19
57761F01,13
550CADCE,13
4FB367B5,9
512D704E,7
4E254303,6
6BA85466,358
50EDF548,230
516FCC68,167
514A6890,78
4C54FE6C,11
0C3EAF70,11
0236D748,9
50A33C75,6
48B3A027,6
E6EFD52A17E0DCE7,577
36861A07,107
4E7BB3A6,85
5B46CAB3,83
3BFAFB04,45
51D957B6,27
7089E9BF,21
51DC372A,18
5868CCCD,15
4D95F20D,15
4D3E985C,14
26E121C2,13
51A830F9,12
4DDF903B,12
4C25C779,12
36FE664C,11
4EA13FBD,10
433A8EFF,10
50892E9D,9
4DF190C0,9
7EF1E7C0,8
53104574,8
519E6D02,8
03F36798,8
B97F4504AD52946C,7
4E696156,7
4740D802,7
970F983909AA8949,6
693896C8,6
5423AAD2,6
51DC3747,6
4FBEF03D,6
4DAEDC37,6
